..........AI : 5.736 s, Game : 1.104 s
Episode 259 avg. reward = 0.900, Long-term avg. reward = 0.040
..........AI : 13.146 s, Game : 4.556 s
Episode 260 avg. reward = 0.700, Long-term avg. reward = 0.047
..........AI : 13.626 s, Game : 5.011 s
Episode 261 avg. reward = 0.800, Long-term avg. reward = 0.055
..........AI : 15.379 s, Game : 5.392 s
Episode 262 avg. reward = 1.100, Long-term avg. reward = 0.065
..........AI : 19.130 s, Game : 7.061 s
Episode 263 avg. reward = 1.800, Long-term avg. reward = 0.082
..........AI : 14.197 s, Game : 5.180 s
Episode 264 avg. reward = 0.900, Long-term avg. reward = 0.091
..........AI : 9.141 s, Game : 3.184 s
Episode 265 avg. reward = 0.000, Long-term avg. reward = 0.090
..........AI : 12.233 s, Game : 4.230 s
Episode 266 avg. reward = 0.800, Long-term avg. reward = 0.097
..........AI : 13.653 s, Game : 4.855 s
Episode 267 avg. reward = 1.000, Long-term avg. reward = 0.106
..........AI : 8.442 s, Game : 3.028 s
Episode 268 avg. reward = -0.200, Long-term avg. reward = 0.103
..........AI : 11.895 s, Game : 4.322 s
Episode 269 avg. reward = 0.600, Long-term avg. reward = 0.108
..........AI : 7.401 s, Game : 2.611 s
Episode 270 avg. reward = -0.300, Long-term avg. reward = 0.104
..........AI : 14.565 s, Game : 5.256 s
Episode 271 avg. reward = 1.000, Long-term avg. reward = 0.113
..........AI : 9.883 s, Game : 3.393 s
Episode 272 avg. reward = 0.300, Long-term avg. reward = 0.114
..........AI : 13.070 s, Game : 4.674 s
Episode 273 avg. reward = 0.700, Long-term avg. reward = 0.120
..........AI : 11.293 s, Game : 4.137 s
Episode 274 avg. reward = 0.100, Long-term avg. reward = 0.120
..........AI : 18.394 s, Game : 6.623 s
Episode 275 avg. reward = 1.700, Long-term avg. reward = 0.136
..........AI : 15.915 s, Game : 5.642 s
Episode 276 avg. reward = 1.200, Long-term avg. reward = 0.147
..........AI : 10.530 s, Game : 3.796 s
Episode 277 avg. reward = 0.200, Long-term avg. reward = 0.147
..........AI : 12.786 s, Game : 4.453 s
Episode 278 avg. reward = 0.700, Long-term avg. reward = 0.153
..........AI : 12.582 s, Game : 4.485 s
Episode 279 avg. reward = 0.800, Long-term avg. reward = 0.159
..........AI : 14.101 s, Game : 5.089 s
Episode 280 avg. reward = 0.700, Long-term avg. reward = 0.164
..........AI : 12.890 s, Game : 4.583 s
Episode 281 avg. reward = 0.500, Long-term avg. reward = 0.168
..........AI : 13.686 s, Game : 4.884 s
Episode 282 avg. reward = 0.700, Long-term avg. reward = 0.173
..........AI : 15.921 s, Game : 5.716 s
Episode 283 avg. reward = 1.100, Long-term avg. reward = 0.182
..........AI : 10.491 s, Game : 3.729 s
Episode 284 avg. reward = 0.200, Long-term avg. reward = 0.183
..........AI : 11.047 s, Game : 3.806 s
Episode 285 avg. reward = 0.400, Long-term avg. reward = 0.185
..........AI : 12.803 s, Game : 4.472 s
Episode 286 avg. reward = 0.800, Long-term avg. reward = 0.191
..........AI : 10.560 s, Game : 3.755 s
Episode 287 avg. reward = 0.200, Long-term avg. reward = 0.191
..........AI : 20.271 s, Game : 7.204 s
Episode 288 avg. reward = 2.300, Long-term avg. reward = 0.212
..........AI : 16.382 s, Game : 5.896 s
Episode 289 avg. reward = 1.300, Long-term avg. reward = 0.223
..........AI : 14.109 s, Game : 5.055 s
Episode 290 avg. reward = 1.100, Long-term avg. reward = 0.232
..........AI : 20.738 s, Game : 7.331 s
Episode 291 avg. reward = 2.500, Long-term avg. reward = 0.254
..........AI : 10.917 s, Game : 3.853 s
Episode 292 avg. reward = 0.400, Long-term avg. reward = 0.256
..........AI : 12.955 s, Game : 4.500 s
Episode 293 avg. reward = 1.100, Long-term avg. reward = 0.264
..........AI : 15.434 s, Game : 5.560 s
Episode 294 avg. reward = 1.200, Long-term avg. reward = 0.274
..........AI : 13.990 s, Game : 5.208 s
Episode 295 avg. reward = 0.700, Long-term avg. reward = 0.278
..........AI : 14.983 s, Game : 5.148 s
Episode 296 avg. reward = 1.100, Long-term avg. reward = 0.286
..........AI : 16.803 s, Game : 5.945 s
Episode 297 avg. reward = 1.500, Long-term avg. reward = 0.298
..........AI : 12.484 s, Game : 4.531 s
Episode 298 avg. reward = 0.600, Long-term avg. reward = 0.301
..........AI : 16.148 s, Game : 5.908 s
Episode 299 avg. reward = 1.100, Long-term avg. reward = 0.309
..........AI : 8.216 s, Game : 2.775 s
Episode 300 avg. reward = -0.100, Long-term avg. reward = 0.305
..........AI : 12.897 s, Game : 4.737 s
Episode 301 avg. reward = 0.500, Long-term avg. reward = 0.307
..........AI : 12.185 s, Game : 4.292 s
Episode 302 avg. reward = 0.600, Long-term avg. reward = 0.310
..........AI : 8.886 s, Game : 3.129 s
Episode 303 avg. reward = -0.100, Long-term avg. reward = 0.306
..........AI : 8.078 s, Game : 2.896 s
Episode 304 avg. reward = -0.300, Long-term avg. reward = 0.300
..........AI : 15.099 s, Game : 5.335 s
Episode 305 avg. reward = 1.300, Long-term avg. reward = 0.310
..........AI : 16.534 s, Game : 5.945 s
Episode 306 avg. reward = 1.500, Long-term avg. reward = 0.322
..........AI : 6.409 s, Game : 2.401 s
Episode 307 avg. reward = -0.500, Long-term avg. reward = 0.314
..........AI : 11.118 s, Game : 4.089 s
Episode 308 avg. reward = 0.400, Long-term avg. reward = 0.314
..........AI : 10.829 s, Game : 3.892 s
Episode 309 avg. reward = 0.100, Long-term avg. reward = 0.312
..........AI : 7.445 s, Game : 2.506 s
Episode 310 avg. reward = -0.200, Long-term avg. reward = 0.307
..........AI : 10.633 s, Game : 3.778 s
Episode 311 avg. reward = 0.300, Long-term avg. reward = 0.307
..........AI : 7.780 s, Game : 2.690 s
Episode 312 avg. reward = -0.100, Long-term avg. reward = 0.303
..........AI : 9.778 s, Game : 3.554 s
Episode 313 avg. reward = -0.200, Long-term avg. reward = 0.298
..........AI : 8.865 s, Game : 3.165 s
Episode 314 avg. reward = -0.200, Long-term avg. reward = 0.293
..........AI : 8.693 s, Game : 3.184 s
Episode 315 avg. reward = -0.300, Long-term avg. reward = 0.287
..........AI : 11.399 s, Game : 4.168 s
Episode 316 avg. reward = 0.300, Long-term avg. reward = 0.287
..........AI : 11.638 s, Game : 4.164 s
Episode 317 avg. reward = 0.200, Long-term avg. reward = 0.286
..........AI : 14.068 s, Game : 5.021 s
Episode 318 avg. reward = 0.700, Long-term avg. reward = 0.291
..........AI : 18.301 s, Game : 6.528 s
Episode 319 avg. reward = 1.900, Long-term avg. reward = 0.307
..........AI : 12.338 s, Game : 4.362 s
Episode 320 avg. reward = 0.700, Long-term avg. reward = 0.311
..........AI : 14.071 s, Game : 5.055 s
Episode 321 avg. reward = 0.900, Long-term avg. reward = 0.316
..........AI : 13.227 s, Game : 4.640 s
Episode 322 avg. reward = 0.900, Long-term avg. reward = 0.322
..........AI : 15.623 s, Game : 5.647 s
Episode 323 avg. reward = 1.000, Long-term avg. reward = 0.329
..........AI : 21.498 s, Game : 7.361 s
Episode 324 avg. reward = 2.800, Long-term avg. reward = 0.354
..........AI : 12.422 s, Game : 4.284 s
Episode 325 avg. reward = 0.900, Long-term avg. reward = 0.359
..........AI : 19.270 s, Game : 6.819 s
Episode 326 avg. reward = 2.000, Long-term avg. reward = 0.376
..........AI : 10.240 s, Game : 3.670 s
Episode 327 avg. reward = 0.100, Long-term avg. reward = 0.373
..........AI : 18.349 s, Game : 6.658 s
Episode 328 avg. reward = 1.800, Long-term avg. reward = 0.387
..........AI : 16.186 s, Game : 5.789 s
Episode 329 avg. reward = 1.400, Long-term avg. reward = 0.397
..........AI : 6.977 s, Game : 2.423 s
Episode 330 avg. reward = -0.500, Long-term avg. reward = 0.388
..........AI : 12.361 s, Game : 4.630 s
Episode 331 avg. reward = 0.500, Long-term avg. reward = 0.389
..........AI : 10.370 s, Game : 3.736 s
Episode 332 avg. reward = 0.200, Long-term avg. reward = 0.388
..........AI : 20.715 s, Game : 7.787 s
Episode 333 avg. reward = 2.100, Long-term avg. reward = 0.405
..........AI : 14.443 s, Game : 5.118 s
Episode 334 avg. reward = 1.200, Long-term avg. reward = 0.413
..........AI : 16.884 s, Game : 6.240 s
Episode 335 avg. reward = 1.500, Long-term avg. reward = 0.423
..........AI : 20.004 s, Game : 7.170 s
Episode 336 avg. reward = 2.000, Long-term avg. reward = 0.439
..........AI : 13.097 s, Game : 4.703 s
Episode 337 avg. reward = 0.700, Long-term avg. reward = 0.442
..........AI : 16.072 s, Game : 5.559 s
Episode 338 avg. reward = 1.300, Long-term avg. reward = 0.450
..........AI : 16.532 s, Game : 6.127 s
Episode 339 avg. reward = 1.200, Long-term avg. reward = 0.458
..........AI : 20.200 s, Game : 7.389 s
Episode 340 avg. reward = 2.200, Long-term avg. reward = 0.475
..........AI : 14.879 s, Game : 5.145 s
Episode 341 avg. reward = 1.200, Long-term avg. reward = 0.483
..........AI : 12.984 s, Game : 4.582 s
Episode 342 avg. reward = 0.700, Long-term avg. reward = 0.485
..........AI : 13.047 s, Game : 4.783 s
Episode 343 avg. reward = 0.600, Long-term avg. reward = 0.486
..........AI : 19.634 s, Game : 7.044 s
Episode 344 avg. reward = 1.800, Long-term avg. reward = 0.499
..........AI : 8.346 s, Game : 2.796 s
Episode 345 avg. reward = -0.100, Long-term avg. reward = 0.493
..........AI : 13.755 s, Game : 5.132 s
Episode 346 avg. reward = 0.700, Long-term avg. reward = 0.495
..........AI : 11.867 s, Game : 4.322 s
Episode 347 avg. reward = 0.400, Long-term avg. reward = 0.494
..........AI : 28.318 s, Game : 10.176 s
Episode 348 avg. reward = 3.700, Long-term avg. reward = 0.526
..........AI : 12.877 s, Game : 4.542 s
Episode 349 avg. reward = 0.500, Long-term avg. reward = 0.526
..........AI : 9.932 s, Game : 3.576 s
Episode 350 avg. reward = 0.300, Long-term avg. reward = 0.524
..........AI : 11.054 s, Game : 3.878 s
Episode 351 avg. reward = 0.700, Long-term avg. reward = 0.525
..........AI : 32.228 s, Game : 11.468 s
Episode 352 avg. reward = 5.300, Long-term avg. reward = 0.573
..........AI : 22.259 s, Game : 7.929 s
Episode 353 avg. reward = 2.600, Long-term avg. reward = 0.594
..........AI : 14.165 s, Game : 5.171 s
Episode 354 avg. reward = 0.900, Long-term avg. reward = 0.597
..........AI : 16.855 s, Game : 6.387 s
Episode 355 avg. reward = 1.500, Long-term avg. reward = 0.606
..........AI : 14.370 s, Game : 5.290 s
Episode 356 avg. reward = 1.100, Long-term avg. reward = 0.611
..........AI : 14.218 s, Game : 4.962 s
Episode 357 avg. reward = 1.000, Long-term avg. reward = 0.614
..........AI : 13.042 s, Game : 4.629 s
Episode 358 avg. reward = 0.600, Long-term avg. reward = 0.614
..........AI : 22.303 s, Game : 7.923 s
Episode 359 avg. reward = 2.600, Long-term avg. reward = 0.634
..........AI : 15.938 s, Game : 5.753 s
Episode 360 avg. reward = 1.400, Long-term avg. reward = 0.642
..........AI : 17.184 s, Game : 6.132 s
Episode 361 avg. reward = 1.600, Long-term avg. reward = 0.651
..........AI : 26.665 s, Game : 9.551 s
Episode 362 avg. reward = 3.900, Long-term avg. reward = 0.684
..........AI : 11.587 s, Game : 3.525 s
Episode 363 avg. reward = 1.100, Long-term avg. reward = 0.688
..........AI : 10.755 s, Game : 3.382 s
Episode 364 avg. reward = 0.800, Long-term avg. reward = 0.689
..........AI : 21.689 s, Game : 7.717 s
Episode 365 avg. reward = 2.600, Long-term avg. reward = 0.708
..........AI : 16.819 s, Game : 5.377 s
Episode 366 avg. reward = 2.300, Long-term avg. reward = 0.724
..........AI : 13.677 s, Game : 4.356 s
Episode 367 avg. reward = 1.800, Long-term avg. reward = 0.735
..........AI : 12.825 s, Game : 4.024 s
Episode 368 avg. reward = 1.300, Long-term avg. reward = 0.741
..........AI : 18.915 s, Game : 6.747 s
Episode 369 avg. reward = 2.100, Long-term avg. reward = 0.754
..........AI : 20.834 s, Game : 7.473 s
Episode 370 avg. reward = 2.400, Long-term avg. reward = 0.771
..........AI : 16.789 s, Game : 5.934 s
Episode 371 avg. reward = 1.700, Long-term avg. reward = 0.780
..........AI : 18.693 s, Game : 6.656 s
Episode 372 avg. reward = 2.200, Long-term avg. reward = 0.794
..........AI : 11.451 s, Game : 4.057 s
Episode 373 avg. reward = 0.500, Long-term avg. reward = 0.791
..........AI : 12.441 s, Game : 4.401 s
Episode 374 avg. reward = 0.500, Long-term avg. reward = 0.788
..........AI : 25.860 s, Game : 9.530 s
Episode 375 avg. reward = 3.400, Long-term avg. reward = 0.814
..........AI : 12.822 s, Game : 4.550 s
Episode 376 avg. reward = 0.700, Long-term avg. reward = 0.813
..........AI : 13.444 s, Game : 4.360 s
Episode 377 avg. reward = 1.000, Long-term avg. reward = 0.815
..........AI : 10.812 s, Game : 3.858 s
Episode 378 avg. reward = 0.200, Long-term avg. reward = 0.809
..........AI : 24.078 s, Game : 8.314 s
Episode 379 avg. reward = 3.500, Long-term avg. reward = 0.836
..........AI : 14.521 s, Game : 5.244 s
Episode 380 avg. reward = 1.100, Long-term avg. reward = 0.839
..........AI : 11.792 s, Game : 4.382 s
Episode 381 avg. reward = 0.300, Long-term avg. reward = 0.833
..........AI : 19.803 s, Game : 7.434 s
Episode 382 avg. reward = 2.000, Long-term avg. reward = 0.845
..........AI : 17.265 s, Game : 6.116 s
Episode 383 avg. reward = 1.700, Long-term avg. reward = 0.853
..........AI : 9.522 s, Game : 3.309 s
Episode 384 avg. reward = 0.000, Long-term avg. reward = 0.845
..........AI : 24.452 s, Game : 8.565 s
Episode 385 avg. reward = 3.100, Long-term avg. reward = 0.867
..........AI : 21.041 s, Game : 7.527 s
Episode 386 avg. reward = 2.100, Long-term avg. reward = 0.880
..........AI : 20.727 s, Game : 7.334 s
Episode 387 avg. reward = 2.400, Long-term avg. reward = 0.895
..........AI : 13.549 s, Game : 4.763 s
Episode 388 avg. reward = 0.600, Long-term avg. reward = 0.892
..........AI : 16.412 s, Game : 5.895 s
Episode 389 avg. reward = 1.600, Long-term avg. reward = 0.899
..........AI : 14.919 s, Game : 5.290 s
Episode 390 avg. reward = 0.900, Long-term avg. reward = 0.899
..........AI : 14.853 s, Game : 5.140 s
Episode 391 avg. reward = 1.300, Long-term avg. reward = 0.903
..........AI : 18.461 s, Game : 6.617 s
Episode 392 avg. reward = 1.600, Long-term avg. reward = 0.910
..........AI : 17.364 s, Game : 5.985 s
Episode 393 avg. reward = 1.800, Long-term avg. reward = 0.919
..........AI : 21.879 s, Game : 7.707 s
Episode 394 avg. reward = 2.600, Long-term avg. reward = 0.936
..........AI : 4.733 s, Game : 1.480 s
Episode 395 avg. reward = -0.800, Long-term avg. reward = 0.918
..........AI : 15.756 s, Game : 5.392 s
Episode 396 avg. reward = 1.500, Long-term avg. reward = 0.924
..........AI : 25.648 s, Game : 8.857 s
Episode 397 avg. reward = 3.400, Long-term avg. reward = 0.949
..........AI : 18.068 s, Game : 6.375 s
Episode 398 avg. reward = 1.700, Long-term avg. reward = 0.956
..........AI : 12.393 s, Game : 4.300 s
Episode 399 avg. reward = 0.600, Long-term avg. reward = 0.953
..........AI : 15.970 s, Game : 5.498 s
Episode 400 avg. reward = 1.300, Long-term avg. reward = 0.956
..........AI : 16.800 s, Game : 5.823 s
Episode 401 avg. reward = 1.800, Long-term avg. reward = 0.965
..........AI : 10.873 s, Game : 3.739 s
Episode 402 avg. reward = 0.600, Long-term avg. reward = 0.961
..........AI : 19.134 s, Game : 6.615 s
Episode 403 avg. reward = 2.200, Long-term avg. reward = 0.974
..........AI : 28.890 s, Game : 10.444 s
Episode 404 avg. reward = 4.100, Long-term avg. reward = 1.005
..........AI : 12.917 s, Game : 4.226 s
Episode 405 avg. reward = 1.200, Long-term avg. reward = 1.007
..........AI : 17.032 s, Game : 6.044 s
Episode 406 avg. reward = 1.500, Long-term avg. reward = 1.012
..........AI : 26.190 s, Game : 9.142 s
Episode 407 avg. reward = 3.900, Long-term avg. reward = 1.041
..........AI : 17.929 s, Game : 6.408 s
Episode 408 avg. reward = 1.900, Long-term avg. reward = 1.049
..........AI : 18.278 s, Game : 6.595 s
Episode 409 avg. reward = 1.700, Long-term avg. reward = 1.056
..........AI : 18.222 s, Game : 6.529 s
Episode 410 avg. reward = 1.700, Long-term avg. reward = 1.062
..........AI : 22.071 s, Game : 7.624 s
Episode 411 avg. reward = 2.800, Long-term avg. reward = 1.080
..........AI : 14.867 s, Game : 5.247 s
Episode 412 avg. reward = 1.100, Long-term avg. reward = 1.080
..........AI : 10.610 s, Game : 3.751 s
Episode 413 avg. reward = 0.300, Long-term avg. reward = 1.072
..........AI : 24.963 s, Game : 8.780 s
Episode 414 avg. reward = 3.300, Long-term avg. reward = 1.094
..........AI : 15.422 s, Game : 5.398 s
Episode 415 avg. reward = 1.200, Long-term avg. reward = 1.095
..........AI : 19.075 s, Game : 6.524 s
Episode 416 avg. reward = 1.900, Long-term avg. reward = 1.103
..........AI : 19.140 s, Game : 6.770 s
Episode 417 avg. reward = 2.300, Long-term avg. reward = 1.115
..........AI : 18.070 s, Game : 6.408 s
Episode 418 avg. reward = 1.700, Long-term avg. reward = 1.121
..........AI : 22.746 s, Game : 7.838 s
Episode 419 avg. reward = 3.000, Long-term avg. reward = 1.140
..........AI : 11.253 s, Game : 3.828 s
Episode 420 avg. reward = 0.400, Long-term avg. reward = 1.133
..........AI : 16.346 s, Game : 5.653 s
Episode 421 avg. reward = 1.300, Long-term avg. reward = 1.134
..........AI : 23.163 s, Game : 8.254 s
Episode 422 avg. reward = 2.900, Long-term avg. reward = 1.152
..........AI : 16.092 s, Game : 5.902 s
Episode 423 avg. reward = 1.300, Long-term avg. reward = 1.153
..........AI : 20.790 s, Game : 7.247 s
Episode 424 avg. reward = 2.600, Long-term avg. reward = 1.168
..........AI : 23.991 s, Game : 8.505 s
Episode 425 avg. reward = 3.400, Long-term avg. reward = 1.190
..........AI : 25.289 s, Game : 8.826 s
Episode 426 avg. reward = 3.700, Long-term avg. reward = 1.215
..........AI : 19.973 s, Game : 7.243 s
Episode 427 avg. reward = 2.100, Long-term avg. reward = 1.224
..........AI : 24.956 s, Game : 8.834 s
Episode 428 avg. reward = 3.600, Long-term avg. reward = 1.248
..........AI : 17.328 s, Game : 6.021 s
Episode 429 avg. reward = 1.800, Long-term avg. reward = 1.253
..........AI : 16.907 s, Game : 6.224 s
Episode 430 avg. reward = 1.600, Long-term avg. reward = 1.257
..........AI : 17.611 s, Game : 6.232 s
Episode 431 avg. reward = 1.500, Long-term avg. reward = 1.259
..........AI : 23.916 s, Game : 8.659 s
Episode 432 avg. reward = 3.000, Long-term avg. reward = 1.277
..........AI : 9.784 s, Game : 3.515 s
Episode 433 avg. reward = 0.300, Long-term avg. reward = 1.267
..........AI : 18.798 s, Game : 6.660 s
Episode 434 avg. reward = 2.200, Long-term avg. reward = 1.276
..........AI : 17.912 s, Game : 6.440 s
Episode 435 avg. reward = 1.900, Long-term avg. reward = 1.282
..........AI : 13.580 s, Game : 4.648 s
Episode 436 avg. reward = 1.000, Long-term avg. reward = 1.280
..........AI : 11.470 s, Game : 4.062 s
Episode 437 avg. reward = 0.400, Long-term avg. reward = 1.271
..........AI : 17.847 s, Game : 6.180 s
Episode 438 avg. reward = 2.100, Long-term avg. reward = 1.279
..........AI : 15.648 s, Game : 5.716 s
Episode 439 avg. reward = 1.400, Long-term avg. reward = 1.280
..........AI : 14.683 s, Game : 5.228 s
Episode 440 avg. reward = 1.100, Long-term avg. reward = 1.279
..........AI : 21.482 s, Game : 7.642 s
Episode 441 avg. reward = 2.700, Long-term avg. reward = 1.293
..........AI : 18.085 s, Game : 6.390 s
Episode 442 avg. reward = 1.500, Long-term avg. reward = 1.295
..........AI : 22.064 s, Game : 7.875 s
Episode 443 avg. reward = 2.400, Long-term avg. reward = 1.306
..........AI : 17.812 s, Game : 6.151 s
Episode 444 avg. reward = 1.900, Long-term avg. reward = 1.312
..........AI : 21.906 s, Game : 8.095 s
Episode 445 avg. reward = 2.200, Long-term avg. reward = 1.321
..........AI : 14.485 s, Game : 5.196 s
Episode 446 avg. reward = 1.100, Long-term avg. reward = 1.318
..........AI : 26.491 s, Game : 9.391 s
Episode 447 avg. reward = 3.500, Long-term avg. reward = 1.340
..........AI : 15.047 s, Game : 5.183 s
Episode 448 avg. reward = 1.500, Long-term avg. reward = 1.342
..........AI : 27.374 s, Game : 9.503 s
Episode 449 avg. reward = 4.100, Long-term avg. reward = 1.369
..........AI : 8.785 s, Game : 3.050 s
Episode 450 avg. reward = -0.100, Long-term avg. reward = 1.355
..........AI : 14.766 s, Game : 4.904 s
Episode 451 avg. reward = 1.600, Long-term avg. reward = 1.357
..........AI : 19.003 s, Game : 6.714 s
Episode 452 avg. reward = 2.100, Long-term avg. reward = 1.365
..........AI : 18.949 s, Game : 6.769 s
Episode 453 avg. reward = 2.200, Long-term avg. reward = 1.373
..........AI : 19.397 s, Game : 6.786 s
Episode 454 avg. reward = 2.200, Long-term avg. reward = 1.381
..........AI : 10.021 s, Game : 3.525 s
Episode 455 avg. reward = 0.100, Long-term avg. reward = 1.368
..........AI : 15.359 s, Game : 5.663 s
Episode 456 avg. reward = 1.100, Long-term avg. reward = 1.366
..........AI : 16.424 s, Game : 5.611 s
Episode 457 avg. reward = 1.600, Long-term avg. reward = 1.368
..........AI : 18.589 s, Game : 6.655 s
Episode 458 avg. reward = 1.900, Long-term avg. reward = 1.373
..........AI : 13.591 s, Game : 4.848 s
Episode 459 avg. reward = 0.700, Long-term avg. reward = 1.367
..........AI : 23.259 s, Game : 8.039 s
Episode 460 avg. reward = 2.800, Long-term avg. reward = 1.381
..........AI : 23.094 s, Game : 8.342 s
Episode 461 avg. reward = 2.600, Long-term avg. reward = 1.393
..........AI : 17.693 s, Game : 6.304 s
Episode 462 avg. reward = 1.600, Long-term avg. reward = 1.395
..........AI : 16.788 s, Game : 5.892 s
Episode 463 avg. reward = 1.500, Long-term avg. reward = 1.396
..........AI : 13.221 s, Game : 4.787 s
Episode 464 avg. reward = 0.700, Long-term avg. reward = 1.389
..........AI : 12.548 s, Game : 4.433 s
Episode 465 avg. reward = 0.600, Long-term avg. reward = 1.381
..........AI : 14.277 s, Game : 5.082 s
Episode 466 avg. reward = 0.900, Long-term avg. reward = 1.377
..........AI : 16.497 s, Game : 5.859 s
Episode 467 avg. reward = 1.600, Long-term avg. reward = 1.379
..........AI : 20.655 s, Game : 7.353 s
Episode 468 avg. reward = 2.400, Long-term avg. reward = 1.389
..........AI : 14.436 s, Game : 5.151 s
Episode 469 avg. reward = 0.900, Long-term avg. reward = 1.384
..........AI : 22.731 s, Game : 8.038 s
Episode 470 avg. reward = 2.600, Long-term avg. reward = 1.396
..........AI : 10.325 s, Game : 3.646 s
Episode 471 avg. reward = 0.400, Long-term avg. reward = 1.386
..........AI : 14.621 s, Game : 5.090 s
Episode 472 avg. reward = 1.000, Long-term avg. reward = 1.383
..........AI : 18.463 s, Game : 6.436 s
Episode 473 avg. reward = 2.100, Long-term avg. reward = 1.390
..........AI : 11.977 s, Game : 4.404 s
Episode 474 avg. reward = 0.500, Long-term avg. reward = 1.381
..........AI : 19.681 s, Game : 6.958 s
Episode 475 avg. reward = 2.000, Long-term avg. reward = 1.387
..........AI : 14.403 s, Game : 5.339 s
Episode 476 avg. reward = 1.300, Long-term avg. reward = 1.386
..........AI : 13.117 s, Game : 4.696 s
Episode 477 avg. reward = 0.700, Long-term avg. reward = 1.379
..........AI : 18.853 s, Game : 6.571 s
Episode 478 avg. reward = 2.100, Long-term avg. reward = 1.387
..........AI : 14.341 s, Game : 5.090 s
Episode 479 avg. reward = 0.900, Long-term avg. reward = 1.382
..........AI : 27.091 s, Game : 9.536 s
Episode 480 avg. reward = 4.100, Long-term avg. reward = 1.409
..........AI : 16.118 s, Game : 5.737 s
Episode 481 avg. reward = 1.500, Long-term avg. reward = 1.410
..........AI : 18.600 s, Game : 6.504 s
Episode 482 avg. reward = 2.300, Long-term avg. reward = 1.419
..........AI : 15.361 s, Game : 5.252 s
Episode 483 avg. reward = 1.100, Long-term avg. reward = 1.415
..........AI : 18.800 s, Game : 6.866 s
Episode 484 avg. reward = 1.900, Long-term avg. reward = 1.420
..........AI : 26.247 s, Game : 9.322 s
Episode 485 avg. reward = 3.600, Long-term avg. reward = 1.442
..........AI : 21.373 s, Game : 7.903 s
Episode 486 avg. reward = 2.400, Long-term avg. reward = 1.452
..........AI : 15.277 s, Game : 5.415 s
Episode 487 avg. reward = 1.100, Long-term avg. reward = 1.448
..........AI : 13.837 s, Game : 4.854 s
Episode 488 avg. reward = 0.900, Long-term avg. reward = 1.443
..........AI : 15.789 s, Game : 5.662 s
Episode 489 avg. reward = 1.100, Long-term avg. reward = 1.439
..........AI : 16.309 s, Game : 5.707 s
Episode 490 avg. reward = 1.300, Long-term avg. reward = 1.438
..........AI : 19.950 s, Game : 7.230 s
Episode 491 avg. reward = 2.100, Long-term avg. reward = 1.444
..........AI : 23.490 s, Game : 8.488 s
Episode 492 avg. reward = 3.000, Long-term avg. reward = 1.460
..........AI : 23.461 s, Game : 7.912 s
Episode 493 avg. reward = 3.700, Long-term avg. reward = 1.482
..........AI : 16.029 s, Game : 5.319 s
Episode 494 avg. reward = 2.100, Long-term avg. reward = 1.489
..........AI : 23.990 s, Game : 8.531 s
Episode 495 avg. reward = 3.500, Long-term avg. reward = 1.509
..........AI : 26.350 s, Game : 9.378 s
Episode 496 avg. reward = 3.700, Long-term avg. reward = 1.531
..........AI : 15.359 s, Game : 5.702 s
Episode 497 avg. reward = 0.900, Long-term avg. reward = 1.524
..........AI : 24.747 s, Game : 8.444 s
Episode 498 avg. reward = 3.200, Long-term avg. reward = 1.541
..........AI : 22.801 s, Game : 8.012 s
Episode 499 avg. reward = 3.300, Long-term avg. reward = 1.559
..........AI : 16.470 s, Game : 5.805 s
Episode 500 avg. reward = 1.700, Long-term avg. reward = 1.560
..........AI : 20.883 s, Game : 7.456 s
Episode 501 avg. reward = 2.300, Long-term avg. reward = 1.567
..........AI : 21.521 s, Game : 7.549 s
Episode 502 avg. reward = 2.800, Long-term avg. reward = 1.580
..........AI : 18.871 s, Game : 6.734 s
Episode 503 avg. reward = 2.200, Long-term avg. reward = 1.586
..........AI : 17.915 s, Game : 6.497 s
Episode 504 avg. reward = 2.000, Long-term avg. reward = 1.590
..........AI : 12.995 s, Game : 4.736 s
Episode 505 avg. reward = 0.600, Long-term avg. reward = 1.580
..........AI : 21.361 s, Game : 7.183 s
Episode 506 avg. reward = 2.900, Long-term avg. reward = 1.593
..........AI : 15.107 s, Game : 5.201 s
Episode 507 avg. reward = 1.300, Long-term avg. reward = 1.591
..........AI : 15.302 s, Game : 5.404 s
Episode 508 avg. reward = 1.200, Long-term avg. reward = 1.587
..........AI : 24.643 s, Game : 8.858 s
Episode 509 avg. reward = 3.200, Long-term avg. reward = 1.603
..........AI : 14.320 s, Game : 5.186 s
Episode 510 avg. reward = 0.800, Long-term avg. reward = 1.595
..........AI : 17.932 s, Game : 6.232 s
Episode 511 avg. reward = 1.900, Long-term avg. reward = 1.598
..........AI : 20.997 s, Game : 7.453 s
Episode 512 avg. reward = 2.700, Long-term avg. reward = 1.609
..........AI : 27.174 s, Game : 9.471 s
Episode 513 avg. reward = 4.100, Long-term avg. reward = 1.634
..........AI : 29.980 s, Game : 10.204 s
Episode 514 avg. reward = 4.700, Long-term avg. reward = 1.664
..........AI : 13.047 s, Game : 4.608 s
Episode 515 avg. reward = 0.600, Long-term avg. reward = 1.654
..........AI : 26.104 s, Game : 9.133 s
Episode 516 avg. reward = 3.700, Long-term avg. reward = 1.674
..........AI : 21.394 s, Game : 7.657 s
Episode 517 avg. reward = 2.300, Long-term avg. reward = 1.680
